# Quality	#1 ID	#2 ID	#1 String	#2 String
0	train-neg-0-0	train-neg-0-0	Question: George Lucas organization founder organizations founded what ? Is the correct answer Star Wars Episode II: Attack of the Clones ?	Context: Star Wars Episode II: Attack of the Clones film edited by George Lucas;
1	train-pos-2	train-pos-2	Question: Kurt Russell person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Kurt Russell person gender Male; Jason Robards Jr. person gender Male; Jason Robards Jr. person spouse s marriage type of union Marriage;
1	train-pos-2	train-pos-2	Question: Kurt Russell person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Kurt Russell person gender Male; Pinto Colvig person gender Male; Pinto Colvig person spouse s marriage type of union Marriage;
1	train-pos-2	train-pos-2	Question: Kurt Russell person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Kurt Russell person gender Male; Edgar Allan Poe person gender Male; Edgar Allan Poe person spouse s marriage type of union Marriage;
0	train-neg-2-1	train-neg-2-1	Question: Catholicism person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Bonnie Hunt person religion Catholicism; Bonnie Hunt person spouse s marriage type of union Marriage;
0	train-neg-2-1	train-neg-2-1	Question: Catholicism person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Madonna person religion Catholicism; Dennis Rodman celebrity breakup breakup participant Madonna; Dennis Rodman person spouse s marriage type of union Marriage;
0	train-neg-2-1	train-neg-2-1	Question: Catholicism person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Madonna person religion Catholicism; Dennis Rodman celebrity dated dated participant Madonna; Dennis Rodman person spouse s marriage type of union Marriage;
0	train-neg-2-3	train-neg-2-3	Question: Kurt Russell person spouse s marriage type of union what ? Is the correct answer Roger Birnbaum ?	Context: Kurt Russell person gender Male; Roger Birnbaum person gender Male;
0	train-neg-2-4	train-neg-2-4	Question: Edward Burns person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Edward Burns person gender Male; Jason Robards Jr. person gender Male; Jason Robards Jr. person spouse s marriage type of union Marriage;
0	train-neg-2-4	train-neg-2-4	Question: Edward Burns person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Edward Burns person gender Male; Pinto Colvig person gender Male; Pinto Colvig person spouse s marriage type of union Marriage;
0	train-neg-2-4	train-neg-2-4	Question: Edward Burns person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Edward Burns person gender Male; Edgar Allan Poe person gender Male; Edgar Allan Poe person spouse s marriage type of union Marriage;
0	train-neg-2-5	train-neg-2-5	Question: Kurt Russell person spouse s marriage type of union what ? Is the correct answer Friedrich Schiller ?	Context: Kurt Russell person gender Male; Friedrich Schiller person gender Male;
0	train-neg-2-7	train-neg-2-7	Question: Kurt Russell person spouse s marriage type of union what ? Is the correct answer Emily Watson ?	Context: Kurt Russell person gender Male; Charlie Kaufman person gender Male; Charlie Kaufman award nominee award nominations award nomination award nominee Emily Watson;
0	train-neg-2-8	train-neg-2-8	Question: Vince Vaughn person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Vince Vaughn person gender Male; Jason Robards Jr. person gender Male; Jason Robards Jr. person spouse s marriage type of union Marriage;
0	train-neg-2-8	train-neg-2-8	Question: Vince Vaughn person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Vince Vaughn person gender Male; Pinto Colvig person gender Male; Pinto Colvig person spouse s marriage type of union Marriage;
0	train-neg-2-8	train-neg-2-8	Question: Vince Vaughn person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Vince Vaughn person gender Male; Edgar Allan Poe person gender Male; Edgar Allan Poe person spouse s marriage type of union Marriage;
0	train-neg-2-9	train-neg-2-9	Question: Henry James person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Henry James person gender Male; Jason Robards Jr. person gender Male; Jason Robards Jr. person spouse s marriage type of union Marriage;
0	train-neg-2-9	train-neg-2-9	Question: Henry James person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Henry James person gender Male; Pinto Colvig person gender Male; Pinto Colvig person spouse s marriage type of union Marriage;
0	train-neg-2-9	train-neg-2-9	Question: Henry James person spouse s marriage type of union what ? Is the correct answer Marriage ?	Context: Henry James person gender Male; Edgar Allan Poe person gender Male; Edgar Allan Poe person spouse s marriage type of union Marriage;
1	train-pos-3	train-pos-3	Question: Madonna person profession what ? Is the correct answer Screenwriter ?	Context: Madonna person religion Catholicism; Bonnie Hunt person religion Catholicism; Bonnie Hunt person profession Screenwriter;
0	train-neg-3-0	train-neg-3-0	Question: James Madison person profession what ? Is the correct answer Screenwriter ?	Context: James Madison person spouse s marriage type of union Marriage; Will Arnett person spouse s marriage type of union Marriage; Will Arnett person profession Screenwriter;
0	train-neg-3-0	train-neg-3-0	Question: James Madison person profession what ? Is the correct answer Screenwriter ?	Context: James Madison person spouse s marriage type of union Marriage; Bonnie Hunt person spouse s marriage type of union Marriage; Bonnie Hunt person profession Screenwriter;
0	train-neg-3-1	train-neg-3-1	Question: Joseph Barbera person profession what ? Is the correct answer Screenwriter ?	Context: Joseph Barbera person spouse s marriage type of union Marriage; Will Arnett person spouse s marriage type of union Marriage; Will Arnett person profession Screenwriter;
0	train-neg-3-1	train-neg-3-1	Question: Joseph Barbera person profession what ? Is the correct answer Screenwriter ?	Context: Joseph Barbera person spouse s marriage type of union Marriage; Bonnie Hunt person spouse s marriage type of union Marriage; Bonnie Hunt person profession Screenwriter;
0	train-neg-3-2	train-neg-3-2	Question: Gary Numan person profession what ? Is the correct answer Screenwriter ?	Context: Gary Numan person spouse s marriage type of union Marriage; Will Arnett person spouse s marriage type of union Marriage; Will Arnett person profession Screenwriter;
0	train-neg-3-2	train-neg-3-2	Question: Gary Numan person profession what ? Is the correct answer Screenwriter ?	Context: Gary Numan person spouse s marriage type of union Marriage; Bonnie Hunt person spouse s marriage type of union Marriage; Bonnie Hunt person profession Screenwriter;
0	train-neg-3-3	train-neg-3-3	Question: Madonna person profession what ? Is the correct answer Matthew Perry ?	Context: Madonna person religion Catholicism; Lauren Graham person religion Catholicism; Matthew Perry celebrity dated dated participant Lauren Graham;
0	train-neg-3-4	train-neg-3-4	Question: Tim Carvell person profession what ? Is the correct answer Screenwriter ?	Context: Tim Carvell award nominee award nominations award nomination award nominee Rory Albanese; Rory Albanese person profession Screenwriter;
