concept:bird:loons	bird : loons
concept:newspaper:the_national	newspaper : the national
concept:sportsteam:boston_university	sports team : boston university
concept:sportsteam:chicago_cardinals	sports team : chicago cardinals
concept:room:view	room : view
concept:river:missouri_river	river : missouri river
concept:newspaper:denver_post	newspaper : denver post
concept:visualizableobject:crostini	visualizable object : crostini
concept:disease:learning_disabilities	disease : learning disabilities
concept:sportsteam:south_dakota_st_jackrabbits	sports team : south dakota st jackrabbits
concept:politician:michael_r__bloomberg	politician : michael r  bloomberg
concept:politician:barack_hussein_obama	politician : barack hussein obama
concept:website:nbc_news	website : nbc news
concept:televisionstation:wunc_tv	television station : wunc tv
concept:geopoliticallocation:producers	geopolitical location : producers
concept:wine:sauvignon	wine : sauvignon
concept:chemical:urea	chemical : urea
concept:company:revolution_health_com	company : revolution health com
concept:city:home	city : home
concept:year:n1879	year : n1879
concept:city:dumont	city : dumont
concept:university:fairbanks	university : fairbanks
concept:bird:boobies	bird : boobies
concept:year:n1861	year : n1861
concept:country:romania	country : romania
concept:televisionstation:wmsy_tv	television station : wmsy tv
concept:beverage:poor_water	beverage : poor water
concept:color:gold	color : gold
concept:newspaper:new_york_post	newspaper : new york post
concept:city:glasgow_prestwick	city : glasgow prestwick
concept:stadiumoreventvenue:olympic_stadium	stadium or event venue : olympic stadium
concept:city:broomfield	city : broomfield
concept:sportsleague:major_league_baseball	sports league : major league baseball
concept:nerve:lymph	nerve : lymph
concept:coach:romeo_crennel	coach : romeo crennel
concept:arthropod:pollinators	arthropod : pollinators
concept:sportsteam:arizona_cardinals_27_23	sports team : arizona cardinals 27 23
concept:insect:widow_spiders	insect : widow spiders
concept:chemical:gum_arabic	chemical : gum arabic
concept:year:n1862	year : n1862
concept:person:juan_carlos_osorio	person : juan carlos osorio
concept:city:fishers	city : fishers
concept:river:zion	river : zion
concept:person:andy_reid	person : andy reid
concept:stadiumoreventvenue:lavell_edwards_stadium	stadium or event venue : lavell edwards stadium
concept:jobposition:attorney	job position : attorney
concept:university:loyola	university : loyola
concept:politicianus:ken_livingstone	politician us : ken livingstone
concept:disease:narcolepsy	disease : narcolepsy
concept:city:jamul	city : jamul
concept:city:howard	city : howard
concept:magazine:essence	magazine : essence
concept:newspaper:msn_com	newspaper : msn com
concept:geopoliticallocation:bowling_green	geopolitical location : bowling green
concept:aquarium:u__s_	aquarium : u  s 
concept:criminal:england_area	criminal : england area
concept:planet:fiction	planet : fiction
concept:bodypart:ears	bodypart : ears
concept:plant:mature_pines	plant : mature pines
concept:bird:widow	bird : widow
concept:disease:ulcers	disease : ulcers
concept:televisionstation:wbre_tv	television station : wbre tv
concept:mammal:ferrets	mammal : ferrets
concept:building:stage	building : stage
concept:disease:developmental_delay	disease : developmental delay
concept:city:creighton	city : creighton
concept:sport:initiatives	sport : initiatives
concept:televisionstation:wtwo	television station : wtwo
concept:person:wozniak	person : wozniak
concept:governmentorganization:gcc	government organization : gcc
concept:invertebrate:crustaceans	invertebrate : crustaceans
concept:coach:guy_carbonneau	coach : guy carbonneau
concept:mammal:mountain_goats	mammal : mountain goats
concept:grain:white_rice	grain : white rice
concept:city:northridge	city : northridge
concept:animal:leopards	animal : leopards
concept:profession:counselors	profession : counselors
concept:attraction:vimarnmek_place	attraction : vimarnmek place
concept:beverage:solar_hot_water	beverage : solar hot water
concept:crimeorcharge:violations	crime or charge : violations
concept:plant:banana_trees	plant : banana trees
concept:chemical:carbon_tetrachloride	chemical : carbon tetrachloride
concept:coach:joe_gibbs	coach : joe gibbs
concept:website:koed_tv	website : koed tv
concept:plant:oak	plant : oak
concept:visualizablething:fresh_air	visualizable thing : fresh air
concept:company:york_times	company : york times
concept:landscapefeatures:landscape	landscape features : landscape
concept:highway:northern_california	highway : northern california
concept:disease:problems	disease : problems
concept:city:rimini	city : rimini
concept:sportsteam:east_tennessee_state_buccaneers	sports team : east tennessee state buccaneers
concept:agriculturalproduct:plants	agricultural product : plants
concept:retailstore:setup	retail store : setup
concept:bedroomitem:rate	bedroom item : rate
concept:date:tuesday_afternoon	date : tuesday afternoon
concept:beverage:lime	beverage : lime
concept:televisionstation:klrn_tv	television station : klrn tv
concept:country:south_africa	country : south africa
concept:grain:sugar_cane	grain : sugar cane
concept:city:washington_d_c	city : washington d c
concept:sportsequipment:nets	sports equipment : nets
concept:agriculturalproduct:black_beans	agricultural product : black beans
concept:mlconference:services_website	ml conference : services website
concept:website:websites	website : websites
concept:agriculturalproduct:chili	agricultural product : chili
concept:insect:cockroaches	insect : cockroaches
concept:person:snyder	person : snyder
concept:highway:talk	highway : talk
concept:city:north_houston	city : north houston
concept:disease:craniofacial_disorders	disease : craniofacial disorders
concept:plant:salt_cedar	plant : salt cedar
concept:mountainrange:rate	mountain range : rate
concept:sportsgame:centuries	sportsgame : centuries
concept:mammal:wolf	mammal : wolf
concept:river:huangpu	river : huangpu
concept:weapon:thing	weapon : thing
concept:chemical:sulfur	chemical : sulfur
concept:coach:mike_comrie	coach : mike comrie
concept:university:france_telecom	university : france telecom
concept:chemical:common_chemicals	chemical : common chemicals
concept:language:bulgaria	language : bulgaria
concept:vegetable:crisp_romaine	vegetable : crisp romaine
concept:city:status	city : status
concept:visualizablething:tar	visualizable thing : tar
concept:stadiumoreventvenue:alliant_energy_center	stadium or event venue : alliant energy center
concept:awardtrophytournament:ukraine	award trophy tournament : ukraine
concept:emotion:love_one	emotion : love one
concept:coach:bobby_petrino	coach : bobby petrino
concept:building:vegas	building : vegas
concept:condiment:fried_green_tomatoes	condiment : fried green tomatoes
concept:company:ascential_software	company : ascential software
concept:sportsteam:revolution	sports team : revolution
concept:disease:rabies	disease : rabies
concept:awardtrophytournament:playoff_game	award trophy tournament : playoff game
concept:city:aliso_viejo	city : aliso viejo
concept:river:olentangy	river : olentangy
concept:river:intracoastal_waterway	river : intracoastal waterway
concept:sportsequipment:mitt	sports equipment : mitt
concept:insect:butterfly	insect : butterfly
concept:plant:scrub_oak	plant : scrub oak
concept:date:july_2	date : july 2
concept:emotion:deep_love	emotion : deep love
concept:agriculturalproduct:broccoli	agricultural product : broccoli
concept:bodypart:human_body001	bodypart : human body001
concept:transportation:options	transportation : options
concept:city:valencia	city : valencia
concept:plant:olives	plant : olives
concept:televisionstation:wise	television station : wise
concept:plant:mature_oak	plant : mature oak
concept:recordlabel:dreamworks_skg	record label : dreamworks skg
concept:stadiumoreventvenue:mountaineer_field	stadium or event venue : mountaineer field
concept:room:air	room : air
concept:eventoutcome:campaigns	event outcome : campaigns
concept:bird:earlobes	bird : earlobes
concept:condiment:ketchup	condiment : ketchup
concept:televisionstation:knop_tv	television station : knop tv
concept:website:ktrk	website : ktrk
concept:geometricshape:shapes	geometric shape : shapes
concept:stateorprovince:sk	state or province : sk
concept:vehicle:air	vehicle : air
concept:sportsteam:toledo_rockets	sports team : toledo rockets
concept:continent:asia	continent : asia
concept:musicalbum:tennessee	music album : tennessee
concept:visualizablething:drinking_water_supplies	visualizable thing : drinking water supplies
concept:televisionstation:wenh	television station : wenh
concept:city:charlottesville	city : charlottesville
concept:plant:live_oak	plant : live oak
concept:person:michelle001	person : michelle001
concept:coach:tim_murphy	coach : tim murphy
concept:country:vietnam	country : vietnam
concept:plant:cotton	plant : cotton
concept:sportsgame:extra_days	sportsgame : extra days
